715	5298	8873	631	1288
7764	8550	6776	8293	3845
4940	7373	5614	6999	3421
6869	7386	6420	6462	8645
8601	1156	5118	8119	9465
254	6876	2400	337	6111
4056	1343	314	2796	8736
600	4026	7366	3876	7332
9204	3743	4954	6079	8118
5999	7222	6241	8072	8292
5639	322	9764	4076	9469
6641	8967	723	9276	5232
4384	7058	9213	361	8453
4272	5440	9357	316	8923
4424	4843	5775	202	9239
7383	1055	9251	1783	4434
6076	3484	8906	7791	8317
6492	2291	7157	2164	5317
5084	1509	2645	1285	2276
3752	6935	130	1122	8351
6920	1617	3083	4161	781
9248	7495	8018	9361	5106
6098	2311	857	5133	7482
1765	6983	1180	2246	5878
4311	8732	2989	265	4169
9198	5579	4358	9870	2497
2491	1979	3661	751	3041
2847	5751	5434	5977	8641
3343	9716	4790	4506	6239
7792	4200	2046	7143	1671
4372	6517	1536	7632	9401
8265	7230	9480	7679	9456
4609	8121	2210	847	2833
5560	4079	7729	3401	8712
3106	5394	156	5734	7575
6177	2706	3158	9507	5986
9612	1831	7083	1653	421
569	9154	5469	6551	8728
9207	2496	9995	3489	8310
4684	5167	6100	2438	414
8559	8757	1502	1221	2941
6771	9242	1358	8524	461
8893	225	2404	2454	6347
4260	9862	6463	3312	7351
3913	484	5316	8731	498
447	8766	4877	5817	9113
4353	9063	5573	4419	9010
280	8407	4111	1019	6499
9902	7784	933	8264	2705
3926	9803	9204	5681	9727
3660	97	3052	8561	7603
711	8163	3977	7679	7884
8743	9817	8659	8672	1025
6872	2218	4778	212	7170
6192	3138	1797	6263	3838
9974	2377	9048	8018	5894
5788	2814	4195	1010	2900
6945	1819	3538	4440	8580
8418	7674	9873	7805	6120
9034	2198	6068	5344	7220
5933	1077	7541	4803	3405
9600	9194	3005	3949	5190
7212	2938	3443	3906	6838
5055	9266	3832	4108	3330
6283	346	4581	8531	8458
211	6150	7080	8497	6227
8273	2075	2371	6845	1475
9451	7096	5604	8225	3173
3257	3215	6773	9822	3926
5853	2148	9727	4246	1467
1310	8144	2127	7451	5169
6350	9770	8301	2268	5330
7497	355	9868	4131	5020
517	2408	6250	1025	8878
9799	32	4681	9747	5097
614	6407	5859	887	3816
6048	3193	514	114	6841
6477	7558	4434	1132	1574
5789	9848	4891	5026	5870
4100	2905	1793	3866	4966
5374	3554	7143	1866	1432
3143	9393	7420	3813	177
4850	2050	6226	791	8142
4696	6275	8104	826	2405
7334	9517	1594	8533	7310
647	8299	3518	5022	3215
7427	5968	4128	8552	2333
1658	8885	9031	9189	2446
4365	7847	4522	2520	616
5501	5831	5373	9610	7506
8773	9717	2858	5990	6081
3148	9638	6035	7347	4769
7907	8836	7010	2113	8874
7851	6401	4289	4350	5163
375	6919	6721	6754	348
8419	7395	9583	4084	5159
6845	2910	9644	7746	194
7580	4322	5203	9915	4080
383	8597	1366	2117	1330
9644	2797	9524	6025	4935
7214	3903	8178	8507	6052
1549	4394	6025	9957	4562
2907	2338	5762	8356	900
5985	9048	8192	8578	3213
3530	1127	1764	1339	3901
2009	5598	8223	7729	5466
9996	4359	2524	9691	4138
7855	3889	8194	8051	2532
3431	8251	3845	3860	4597
7780	5270	2415	5399	1624
3167	9943	3186	7304	8297
1522	8276	2578	6290	5530
8541	4646	4422	1246	277
3440	2729	8958	9145	8510
4481	4638	2041	867	7065
3827	2830	8446	320	2250
1081	6965	7449	1823	1021
7826	416	5537	6512	8526
1507	6821	3706	73	7590
6387	6847	8347	4838	7436
6099	4361	7079	2324	5054
789	7422	5292	1888	113
694	106	6968	7218	9200
1268	4172	788	406	3274
6961	1342	6524	607	1711
725	3306	4148	522	2875
7677	7522	4007	7638	8649
2804	6891	7758	5611	2905
5750	7893	6794	612	6713
8604	1153	9494	8374	6090
6225	3476	8108	7959	1503
3724	2141	2797	1610	2090
4733	7787	3132	4836	6779
1450	56	7691	8735	2537
9225	3141	4008	684	977
7894	5546	151	4327	2543
24	949	2068	6910	2050
2509	2583	203	2411	9353
6945	329	5270	4372	2380
1994	1790	6855	4810	8556
6552	9116	8685	1128	2184
5963	2409	5500	4213	7122
4364	1447	6597	438	6513
6388	5291	9031	5209	7356
5282	7710	1119	4062	9619
7266	7741	799	9050	1593
202	2819	2096	5347	6981
2161	1601	5459	314	9052
6462	7878	9076	4982	3019
134	8982	1113	4430	907
4762	39	4337	3492	3305
2928	7759	1111	2487	23
6209	4434	5873	365	1714
4613	8457	362	5236	2035
3483	9715	1672	9552	1639
4324	2496	9667	8759	6453
5665	1092	5967	7452	7434
771	3716	5046	5720	8131
4057	2566	7251	1837	207
6868	8526	750	7394	1927
4252	9680	2016	1341	5094
5766	2301	3561	2637	5044
2792	2305	8085	4405	6279
3887	437	5015	32	7696
8944	8180	1187	1658	8359
9751	6044	1910	1629	8638
4027	1013	1475	8922	7301
8913	1379	9919	2845	9960
777	4184	6619	2816	2449
3217	1804	5652	3215	8049
5788	4760	5211	759	2850
2077	162	3746	5238	4272
5401	7479	2104	6190	1143
1577	998	1086	8675	329
6051	3431	6315	1	3860
9659	6174	8910	5414	1011
7560	2982	4833	2776	9177
7977	9550	7715	2179	846
8701	9006	2846	2806	3320
6442	7569	1611	118	7666
7156	4886	7706	8235	6728
3761	8821	75	4393	7742
9998	118	3485	9743	7806
8398	674	3403	6646	7107
1709	3650	9164	4681	9109
8892	6078	4910	2060	7395
6602	8736	671	9494	8712
2801	8134	6782	1379	9546
5603	3056	3717	5933	7322
670	1381	4939	5026	3562
7984	9130	660	7640	2764
3008	7583	3115	341	4399
4538	1892	7049	7978	361
3587	7165	5972	1534	9081
2271	718	2734	7989	1544
4384	4485	5972	6028	9223
6591	5739	2151	5711	6902
2971	6186	7369	1755	5134
9682	654	6284	7605	8924
3371	7240	6581	2305	7051
